;;;;;;;;;;;;;;;;;PROMEDIO
26/06/2017 19:39;344;26/06/2017 19:39;375;26/06/2017 19:39;367;26/06/2017 19:40;378;;26/06/2017 19:39;0,170200543;26/06/2017 19:39;0,156826466;26/06/2017 19:39;0,160168914;26/06/2017 19:40;0,1555914;0,160872803
26/06/2017 19:39;346;26/06/2017 19:39;374;26/06/2017 19:39;366;26/06/2017 19:40;379;;26/06/2017 19:39;0,16930199;26/06/2017 19:39;0,157240351;26/06/2017 19:39;0,160591833;26/06/2017 19:40;0,155181888;0,160574743
26/06/2017 19:39;345;26/06/2017 19:39;375;26/06/2017 19:39;365;26/06/2017 19:40;378;;26/06/2017 19:39;0,169750615;26/06/2017 19:39;0,156826466;26/06/2017 19:39;0,16101591;26/06/2017 19:40;0,1555914;0,160722827
26/06/2017 19:39;344;26/06/2017 19:39;377;26/06/2017 19:40;367;26/06/2017 19:40;377;;26/06/2017 19:39;0,170200543;26/06/2017 19:39;0,156001996;26/06/2017 19:40;0,160168914;26/06/2017 19:40;0,156001996;0,160734845
26/06/2017 19:40;344;26/06/2017 19:39;376;26/06/2017 19:40;368;26/06/2017 19:40;379;;26/06/2017 19:40;0,170200543;26/06/2017 19:39;0,156413683;26/06/2017 19:40;0,159747145;26/06/2017 19:40;0,155181888;0,160598705
26/06/2017 19:40;346;26/06/2017 19:39;375;26/06/2017 19:40;367;26/06/2017 19:40;379;;26/06/2017 19:40;0,16930199;26/06/2017 19:39;0,156826466;26/06/2017 19:40;0,160168914;26/06/2017 19:40;0,155181888;0,160436781
26/06/2017 19:40;346;26/06/2017 19:40;376;26/06/2017 19:40;366;26/06/2017 19:40;378;;26/06/2017 19:40;0,16930199;26/06/2017 19:40;0,156413683;26/06/2017 19:40;0,160591833;26/06/2017 19:40;0,1555914;0,160435691
26/06/2017 19:40;345;26/06/2017 19:40;377;26/06/2017 19:40;367;26/06/2017 19:40;377;;26/06/2017 19:40;0,169750615;26/06/2017 19:40;0,156001996;26/06/2017 19:40;0,160168914;26/06/2017 19:40;0,156001996;0,160584869
26/06/2017 19:40;345;26/06/2017 19:40;376;26/06/2017 19:40;368;26/06/2017 19:40;379;;26/06/2017 19:40;0,169750615;26/06/2017 19:40;0,156413683;26/06/2017 19:40;0,159747145;26/06/2017 19:40;0,155181888;0,160448729
26/06/2017 19:40;346;26/06/2017 19:40;375;26/06/2017 19:40;367;26/06/2017 19:40;380;;26/06/2017 19:40;0,16930199;26/06/2017 19:40;0,156826466;26/06/2017 19:40;0,160168914;26/06/2017 19:40;0,154773456;0,160300637
26/06/2017 19:40;346;26/06/2017 19:40;376;26/06/2017 19:40;366;26/06/2017 19:40;378;;26/06/2017 19:40;0,16930199;26/06/2017 19:40;0,156413683;26/06/2017 19:40;0,160591833;26/06/2017 19:40;0,1555914;0,160435691
